# Equation de SCHRODINGER
# x phi(x) phi'(x) N(x)
0.000000 +0.000000000000000000e+00 +1.335279581765941792e+01 +0.000000000000000000e+00
0.010101 +1.346715253728601458e-01 +1.329186995333377119e+01 +6.113984082127546450e-05
0.020202 +2.681140977690700256e-01 +1.310964834293690728e+01 +4.864453502701979464e-04
0.030303 +3.991099790950962678e-01 +1.280779386056086722e+01 +1.626819661713248483e-03
0.040404 +5.264637586815968939e-01 +1.238906109715280479e+01 +3.807123845740715672e-03
0.050505 +6.490132620742574687e-01 +1.185727122333223527e+01 +7.314345807521154853e-03
0.060606 +7.656401565255691599e-01 +1.121727711907218961e+01 +1.238714848549095013e-02
0.070707 +8.752801564065189055e-01 +1.047491908845569419e+01 +1.920717799512011367e-02
0.080808 +9.769327354080393766e-01 +9.636971563634549653e+00 +2.789244826613675524e-02
0.090909 +1.069670256903173966e+00 +8.711081284349043941e+00 +3.849304309780791911e-02
0.101010 +1.152646439149978219e+00 +7.705697517150944975e+00 +5.098929215902347351e-02
0.111111 +1.225104078085636372e+00 +6.629994951121326530e+00 +6.529248736131915143e-02
0.121212 +1.286381957236906626e+00 +5.493789973702107865e+00 +8.124811351529130643e-02
0.131313 +1.335920881690151996e+00 +4.307451090671556848e+00 +9.864147561324268509e-02
0.141414 +1.373268781057875421e+00 +3.081804307732068260e+00 +1.172055177982593149e-01
0.151515 +1.398084834873491555e+00 +1.828034337153010114e+00 +1.366305492610644101e-01
0.161616 +1.410142582768183273e+00 +5.575825310172406457e-01 +1.565755228575010372e-01
0.171717 +1.409331991050012611e+00 -7.179575275121964362e-01 +1.766804556910876456e-01
0.181818 +1.395660456822367390e+00 -1.986945822125307570e+00 +1.965795393161646198e-01
0.191919 +1.369252740480359609e+00 -3.237802125023086397e+00 +2.159144621013956988e-01
0.202020 +1.330349827202391477e+00 -4.459111672969600093e+00 +2.343474585670335675e-01
0.212121 +1.279306727826561518e+00 -5.639729333390950394e+00 +2.515736104527458439e-01
0.222222 +1.216589239177779280e+00 -6.768881309942022639e+00 +2.673319515238329891e-01
0.232323 +1.142769693411236576e+00 -7.836263459422410094e+00 +2.814149716903293630e-01
